text,label
"chal na bhenc**d",1
"kya noob hai",1
"teri maa ka",1
"abe chomu",0
"kitna bakwaas khelta hai",1
"good game bhai",0
"sahi khela re",0
"tu toh pro nikla",0
"gadha hai kya?",1
"nice try bro",0
"teri toh lag gayi",1
"op bhai op",0
"kya camper hai tu",1
"mazza aa gaya",0
"noobde",1
"bhai tu legend hai",0
"chal nikal yahan se",1
"kya mast shot tha",0
"behen ke lode",1
"gg ez",1
"bhai carry kar diya",0
"kya bakchodi hai",1
"masti mat kar",0
"tu toh hacker hai",1
"bhai chill maar",0
"teri band baj gayi",1
"kya teamwork tha",0
"chup kar lawde",1
"bhai next time jeetenge",0
"kya luck tha bhai",0 
